Id,label ,text,label_num
1,ham,"Báo cáo tài chính quý 3 đã hoàn tất và đính kèm, vui lòng xem và phản hồi.",1
2,spam,Đầu tư ngay hôm nay để nhận lãi suất cao gấp đôi chỉ trong 1 tuần!,0
3,ham,"Kỳ nghỉ lễ sắp tới, công ty sẽ đóng cửa từ ngày 29/4 đến ngày 2/5.",1
4,ham,Email này để thông báo về việc nâng cấp hệ thống vào cuối tuần. Dịch vụ sẽ bị gián đoạn tạm thời.,1
5,ham,Kết quả xét nghiệm của bạn đã sẵn sàng. Vui lòng đến phòng khám để nhận kết quả.,1
6,spam,"Tặng bạn thẻ quà tặng trị giá 1 triệu đồng, chỉ cần đăng ký tài khoản tại đây.",0
7,ham,Chúc mừng sinh nhật! Hy vọng bạn có một ngày thật tuyệt vời và nhiều niềm vui.,1
8,ham,"Xin chào, đây là thông báo về cuộc họp nội bộ vào ngày mai tại văn phòng chính.",1
9,ham,"Kỳ nghỉ lễ sắp tới, công ty sẽ đóng cửa từ ngày 29/4 đến ngày 2/5.",1
10,spam,"Nhận ngay gói vay ưu đãi 0% lãi suất trong 6 tháng, click vào đây để đăng ký.",0
11,ham,"Báo cáo tài chính quý 3 đã hoàn tất và đính kèm, vui lòng xem và phản hồi.",1
12,spam,"Thuốc giảm cân thần tốc, giảm ngay 5kg chỉ trong 1 tuần mà không cần ăn kiêng.",0
13,ham,"Kỳ nghỉ lễ sắp tới, công ty sẽ đóng cửa từ ngày 29/4 đến ngày 2/5.",1
14,ham,"Kỳ nghỉ lễ sắp tới, công ty sẽ đóng cửa từ ngày 29/4 đến ngày 2/5.",1
15,spam,Đầu tư ngay hôm nay để nhận lãi suất cao gấp đôi chỉ trong 1 tuần!,0
16,ham,"Giảng viên đã cập nhật bài giảng tuần này, vui lòng kiểm tra hệ thống học trực tuyến.",1
17,spam,"Bạn vừa trúng một chiếc iPhone 14 Pro Max, hãy nhấn vào đây để nhận phần thưởng.",0
18,ham,Kết quả xét nghiệm của bạn đã sẵn sàng. Vui lòng đến phòng khám để nhận kết quả.,1
